"Time period","England Value","95% confidence interval lower limit","95% confidence interval upper limit"
"2015/16","66.1","65.9","66.3"
"2016/17","66.0","65.8","66.2"
"2017/18","66.3","66.0","66.5"
"2018/19","67.2","67.0","67.4"
"2019/20","66.4","66.2","66.6"
"2020/21","65.9","65.7","66.2"
"2021/22","67.3","67.1","67.5"
"2022/23","67.1","66.9","67.4"
"2023/24","67.4","67.2","67.6"
