"Time period","England Value","95% confidence interval lower limit","95% confidence interval upper limit"
"2015/16","22.3","22.1","22.5"
"2016/17","22.2","22.1","22.4"
"2017/18","22.2","22.0","22.4"
"2018/19","21.4","21.2","21.6"
"2019/20","22.9","22.7","23.1"
"2020/21","23.4","23.2","23.6"
"2021/22","22.3","22.1","22.5"
"2022/23","22.6","22.4","22.8"
"2023/24","22.0","21.8","22.2"
