"Time period","England Value","95% confidence interval lower limit","95% confidence interval upper limit"
"2015/16","1,572","1,567","1,576"
"2016/17","1,428","1,424","1,433"
"2017/18","1,428","1,424","1,432"
"2018/19","1,426","1,422","1,430"
"2019/20","1,398","1,394","1,402"
